Organism	Listeria monocytogenes								
Outbreak	1408MLGX6-3WGS								
pmid	25789745								
tree	http://api.opentreeoflife.org/v2/study/ot_301/tree/tree2.tre								
source									
dataType	empirical								
									
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2
SAMN02991382	MOD1_LS995	-	SRR1553816	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	8acda8ca5472afae4de08f428bf03bc8cbb432218cbe70eeed57d2d194ad7173	5cab244a209484464d815e66e35bc351fa0f1df7d60f3d316c883f980b2b0a02
SAMN02991383	MOD1_LS996	GCA_001257515.1	SRR1553756	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	c88f5f94121a2839dd49a09cb87c78b2c506d846765cfca6e62656fe73b393fa	c1b53f6e3c754c116983d3a46a8a4d10cd2fcdf1163ff83faaa97ecfa77a3b23	f57d4a8d677997019522664785c11c338147cd9ca83ae2ec0ddefdd81f85bc03
SAMN02991384	MOD1_LS997	-	SRR1553788	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	b370ed5e82f48714225102dfa38f252a93c5eff4bae2c7b03eb980e34d2b22f0	509e4a7a36c8e8e28d9b9664d3a5c9a1a0be02ba3f056a52d05ad65acaba4203
SAMN02991385	MOD1_LS998	-	SRR1553804	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	10fb5acccaa8fc22871797095c9b56b9beac147c6cccb79a6e4bc0548007ff88	9ac124aedaac05f7751ab96a77e2298090417aae085ff9ee35aa797823520574
SAMN02991386	MOD1_LS1000	-	SRR1553907	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	42062c61614a5cedec3de285e91327fad8cfab5db4d8dbd4cee512bb72353c54	dea029782dfec718104252c3470ff7de7a401a433e011570f1abb99bb3a19b1c
SAMN02991389	MOD1_LS1003	-	SRR1553792	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	63ec4512f73e24b45b1ad435b6ab4ea9e4c6720a0aa0b2a77fa25b88c81dd3ca	28ffce5aa3f8b613a93e0baa663bea84d3fb3030580ad80690d44443b5cc7a49
SAMN02991390	MOD1_LS1005	GCA_001257635.1	SRR1553867	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	f203f600a4e8e690c41c1b77611036c8aea96981fef8e85b85c1339cb4a382f2	7c26b121c6efa3bcba8f1e0a2ca121e83104814d34cb99c5c4890b5c22ec37a8	97490a7ce0716ca6003c5ee3fd48f348611deed9f23b7c6660d6e04610d60019
SAMN02991392	MOD1_LS1008	-	SRR1553851	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	2ea5cf8158f1973bbf2427c03b083e8b0936329f262810e824cf5b278269cd07	f4a7334433ad5fa9354d9b82ad3234a319ee731530d2c92b67e1fdd41157eb2a
SAMN02991393	MOD1_LS1009	GCA_001257595.1	SRR1553827	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	5002591af40007c5da1e31ae2f2a424f596ecd61ae5ab88d2b8ec064436e550a	8fa5ae2ef989472927cc68b0171e7e601206d71649bc71696d112140ac840021	a2ee8c969091a990cedbe247c9e7cf2da9c1921eda0bbffb892e52901d78220b
SAMN02991394	MOD1_LS1011	GCA_001257585.1	SRR1553774	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	f4c5606eadc763af8e1b284f7eb81ac3414eedc36b5abe4bcf54261e356bc6d4	e2cdd58cad197564206bac754e893887161b7cc941231c8b731655f2223beb86	64d6c5006ddb3f567c44adf716669c3c15ac876ba7c7d8c31cbf2c7049936dd6
SAMN03002783	CFSAN023463	GCA_001047715.1	SRR1556288	1408MLGX6-3WGS	1408MLGX6-3WGS	TRUE	d531614e1b1ba70261a6840d0ca422df90a963d6b9b696d635b8bbcc05cc07af	f092fda1f48a5f496b51971a907b3069716eb2bbf5f96d7aa2ae2a4932696fdb	eb435d21eb8d5c47e882e010ffb5fdaf14241ad647ffb3be78cc44c3b0e1a0f6
SAMN03002784	CFSAN023464	-	SRR1556294	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	851064acdd0fa750fbfdf8b7370b8ee8968ac7eee8fe28220e99397def91fad7	0efd95ce1e936dd239922f5f90081b6a4ecdf56f238229159446c40b64ec42dc
SAMN03002785	CFSAN023465	GCA_001257575.1	SRR1556293	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	0543c6777909583f25c96f8942797850af6c7934bdc662b7db680c8d44ed771f	bc4e509d9a7b67ba52885a79b89926d49e3ceba1ab3043b1d7cd2eb0c744054c	e04208ebe9a5a3473c9506211964cc55040ed366b8112cc0ce9dd782529e6e3b
SAMN03002786	CFSAN023466	-	SRR1556289	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	4ba5b7d004471815c7e9096e93e6d94053b89aad5b20305ac0df872ec265e06d	20f5e00dd444a398f773b5bc66e9fd81be7e9f500b7baf9bfd31796f411ae0f3
SAMN03002787	CFSAN023467	-	SRR1556296	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	e48a1af5bec79f2bca3fa72790abc4265f049de0d809a074643667464de30230	884ae69d5a14b57dd1ee47ac9be159f8ce597255148b6c9f6c323a18144f2907
SAMN03002788	CFSAN023468	GCA_001257495.1	SRR1556290	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	ed47ecd6c9bc82592389aafc247a1e6ae7494f0006ce4205861eed548c773085	977eca15028a86972d45959801f37e06bcd9c4d737493bb22d2cff2ca5c0d4d2	ecc5ddc76ed9c2fa4e11dd5c658772e9708d66667a40efb31225b56e3818bb8f
SAMN03002789	CFSAN023469	-	SRR1556291	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	6b22011d9a93fcbeea1cf46582c25ddbe0320e15a95a20cefb6b883118df0cc4	a4bcd49b45d7ad5295bbe097874526ff2813bdd2d8f07a1f4738a4f06d320f47
SAMN03002790	CFSAN023470	-	SRR1556297	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	03893d64d118c381d0a440bfb9a1647e719093ca68fa4b56590a1c3ae7bd8fc2	bc944255904d5ed0fa81d5aa53d83331a1119e759dac0c7f7a091756a6bb788d
SAMN03002791	CFSAN023471	-	SRR1556295	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	0b06c23ef4414922849dc2396bc79c82f445cb3b2c62e720dff98d6ceddb9bdd	04a0259ca637ee56e1f0f05253004a37a24ca79e87457e91b71ed9f65a895db0
SAMN03013698	PNUSAL000957	-	SRR1562157	outgroup	1408MLGX6-3WGS	FALSE	-	59e5fd681fdcc88789f9cb109d33c5cfe7de0f991d86a4d9af6eeb930254f312	908a57d326b40ac34f3aec3c7829651927724e77933a014fa39d72c0770a1dca
SAMN03093481	PNUSAL001024	-	SRR1597487	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	651ceeb1bbb975c53f3f96b4eab50160b593dd2c277e6b07e59343018b645124	01ce691d4a9dbfdc5929071f9ce2387215e62253cd76eb1a96533271bcdf6438
